hpo_id	hpo_name	comment	definition_x
HP:0011138	Abnormal skin adnexa morphology		An abnormality of the skin adnexa (skin appendages), which are specialized skin structures located within the dermis and focally within the subcutaneous fatty tissue, comprising three histologically distinct structures: (1) the pilosebaceous unit (hair follicle and sebaceous glands); (2) the eccrine sweat glands; and (3) the apocrine glands. [https://orcid.org/0000-0002-0736-9199]
HP:0011124	Abnormal epidermal morphology		An abnormality of the morphology of the epidermis. [https://orcid.org/0000-0002-0736-9199]
HP:0011121	Abnormal skin morphology		Any morphological abnormality of the skin. [https://orcid.org/0000-0002-0736-9199]
HP:0040211	Abnormal skin morphology of the palm		An abnormality of the skin of the palm, that is, the skin of the front of the hand. []
HP:0040189	Scaling skin		Refers to the loss of the outer layer of the epidermis in large, scale-like flakes. []
HP:0040162	Orthokeratosis		Formation of an anuclear keratin layer []
HP:0000982	Palmoplantar keratoderma		Abnormal thickening of the skin of the palms of the hands and the soles of the feet. [https://orcid.org/0000-0002-0736-9199]
HP:0000972	Palmoplantar hyperkeratosis	The terms hyperkeratosis and keratoderma have been used interchangeably throughout the literature.	Abnormal thickening of the skin localized to the palm of the hand and the sole of the foot. [https://orcid.org/0000-0002-0736-9199]
HP:0000962	Hyperkeratosis		Hyperkeratosis is thickening of the outer layer of the skin, the stratum corneum, which is composed of large, polyhedral, plate-like envelopes filled with keratin which are the dead cells that have migrated up from the stratum granulosum. [https://orcid.org/0000-0002-0736-9199]
HP:0040064	Abnormality of limbs		
HP:0100872	Abnormality of the plantar skin of foot		An abnormality of the plantar part of foot, that is of the soles of the feet. [https://orcid.org/0000-0002-0736-9199]
HP:0100871	Abnormal palm morphology		An abnormality of the palm, that is, of the front of the hand. [https://orcid.org/0000-0002-0736-9199]
HP:0032541	Knuckle pad	Knuckle pads can be associated with camptodactyly (fixed flexion deformity of the interphalangeal joints of the little finger) as overlapping symptoms and are associated with many genetic factors. Although they can be associated to repetitive local trauma (for example repetitive batting of the knuckles, e.g. by boxers or suction the fingers by children), coexist with palmar (Dupuytren disease) or plantar fibromatosis (Ledderhose disease) or Peyronie disease, most knuckle pads are idiopathic.	Knuckle pads are benign fibrofatty subcutaneous pads located over the proximal interphalangeal (PIP) joints that can be mistaken for arthritis. Rarely they affect the dorsal aspect of the metacarpophalangeal (MCP) joints. Clinically they are painless and often affect both hands in an asymmetrical pattern. [PMID:26672439]
HP:0000598	Abnormality of the ear	Either a morphological abnormality or hearing deficit. This should be split more cleanly in the future.	An abnormality of the ear. [https://orcid.org/0000-0002-0736-9199]
HP:0000407	Sensorineural hearing impairment	Hearing loss caused by damage or dysfunction of the auditory nerve (cranial nerve VIII, also known as the cochlear nerve).	A type of hearing impairment in one or both ears related to an abnormal functionality of the cochlear nerve. [https://orcid.org/0000-0002-0736-9199]
HP:0000365	Hearing impairment	Hearing loss can be categorized by which part of the auditory system is damaged, as conductive hearing loss, sensorineural hearing loss, and mixed hearing loss. Another axis of classification uses the degree of hearing impairment. The degree of hearing loss is computed by using a three frequency average taken at 500 Hz, 1,000 Hz and 2,000 Hz. The average of these three frequencies is called the Pure Tone Average (PTA). 0-20 dB is considered normal, 21-40 dB mild loss, 41-60 dB moderate loss, 61-70 dB moderately severe loss,71-90 dB severe loss, and greater than 90 dB profound loss. Note that the word deafness is occasionally used to describe partial hearing loss. The World Health Organization uses the word deafness to refer to complete loss of the ability to hear, and hearing impairment to refer to any degree of reduced hearing.	A decreased magnitude of the sensory perception of sound. [https://orcid.org/0000-0002-0736-9199]
HP:0001805	Onychogryposis	There is a build up of keratin causing the nail plate to lift away from the nail bed. The thickened nail plate is usually very hard. Onychauxis and onychogryposis are dystrophic diseases of the nail in which the nail plate becomes decidedly hypertrophied. The differentiation of the two entities is only one of degree of severity.	Nail that appears thick when viewed on end. [PMID:19125433]
HP:0007479	Congenital nonbullous ichthyosiform erythroderma		The term collodion baby applies to newborns who appear to have an extra layer of skin (known as a collodion membrane) that has a collodion-like quality. It is a descriptive term, not a specific diagnosis or disorder (as such, it is a syndrome). Affected babies are born in a collodion membrane, a shiny waxy outer layer to the skin. This is shed 10-14 days after birth, revealing the main symptom of the disease, extensive scaling of the skin caused by hyperkeratosis. With increasing age, the scaling tends to be concentrated around joints in areas such as the groin, the armpits, the inside of the elbow and the neck. The scales often tile the skin and may resemble fish scales. [https://orcid.org/0009-0006-4530-3154]
HP:0007556	Plantar hyperkeratosis		Hyperkeratosis affecting the sole of the foot. [https://orcid.org/0000-0002-0736-9199]
HP:0007503	Generalized ichthyosis		
HP:0007431	Congenital ichthyosiform erythroderma		An ichthyosiform abnormality of the skin with congenital onset. [https://orcid.org/0000-0002-0736-9199]
HP:0007465	Honeycomb palmoplantar hyperkeratosis		Abnormal thickening of the skin on the palms and soles with an honeycomb pattern. [PMID:9326323]
HP:0001072	Thickened skin		Laminar thickening of skin. [https://orcid.org/0009-0006-4530-3154]
HP:0001597	Abnormality of the nail	Abnormality of the fingernails and/or toenails.	Abnormality of the nail. [https://orcid.org/0000-0002-0736-9199]
HP:0001574	Abnormality of the integument	Abnormality of skin, hair, or nails.	An abnormality of the integument, which consists of the skin and the superficial fascia. [https://orcid.org/0000-0002-0736-9199]
HP:0001194	Abnormalities of placenta or umbilical cord		An abnormality of the placenta (the organ that connects the developing fetus to the uterine wall) or of the umbilical cord (the cord that connects the fetus to the placenta). [https://orcid.org/0000-0002-0736-9199]
HP:0001155	Abnormality of the hand		An abnormality affecting one or both hands. [https://orcid.org/0000-0002-0736-9199]
HP:0010765	Palmar hyperkeratosis		Abnormal thickening of the skin localized to the palm of the hand. [https://orcid.org/0000-0002-0736-9199]
HP:0001036	Parakeratosis	Persistence of the nuclei of keratinocytes as they rise into the stratum corneum of the epidermis. Parakeratosis is observed as scaling in many conditions such as psoriasis.	Abnormal formation of the keratinocytes of the epidermis characterized by persistence of nuclei, incomplete formation of keratin, and moistness and swelling of the keratinocytes. [https://orcid.org/0000-0002-0736-9199]
HP:0025525	Scaling skin on fingertip		Loss of the outer layer of the epidermis in large, scale-like flakes localized to one or more fingertips. []
HP:0008404	Nail dystrophy	Onychodystrophy is a widely used, yet rarely defined term. Onychodystrophy can be caused by congenital nail diseases, systemic disorders, fungal and nonfungal infections, various noninfectious inflammatory dermatologic diseases of the nail unit and tumors. Onychodystrophy can also occur secondarily to systemic drug use.	Onychodystrophy (nail dystrophy) refers to nail changes apart from changes of the color (nail dyschromia) and involves partial or complete disruption of the various keratinous layers of the nail plate. [PMID:19675700]
HP:0010491	Digital constriction ring	The description should specify the hand and digit that is affected and the approximate location of the band relative to the phalanges. It may be described as partial, if it does not involve the entire circumference of the digit.	A narrow segment of significantly reduced circumference of a digit. [PMID:19125433]
HP:0008069	Neoplasm of the skin		A tumor (abnormal growth of tissue) of the skin. [https://orcid.org/0000-0002-0736-9199]
HP:0002664	Neoplasm	The World Health Organization (WHO) classifies neoplasms into four main groups: (i) benign neoplasm, (ii) in situ neoplasm, (iii) malignant neoplasm, and (iv) neoplasm of uncertain or unknown behavior. A malignant neoplasm is also known as cancer.	An organ or organ-system abnormality that consists of uncontrolled autonomous cell-proliferation which can occur in any part of the body as a benign or malignant neoplasm (tumor). [https://orcid.org/0000-0002-0736-9199]
HP:0011793	Neoplasm by anatomical site		Neoplasm categorized according to the anatomical site of origin of the neoplasm. [https://orcid.org/0000-0002-9113-2978]
HP:0100792	Acantholysis	Acantolysis results in a positive Nikolsky's sign in which slight rubbing of the skin results in exfoliation of the outermost layer.	The loss of intercellular connections, such as desmosomes, resulting in loss of cohesion between keratinocytes. [https://orcid.org/0009-0006-4530-3154]
HP:0100643	Abnormality of nail color		An anomaly of the color of the nail. [https://orcid.org/0000-0002-0736-9199]
HP:0012740	Papilloma	The vast majority of papillomas are benign. Papillomas on the skin (cutaneous papillomas) are commonly referred to as warts.	A tumor of the skin or mucous membrane with finger-like projections. [https://orcid.org/0000-0002-0736-9199]
HP:0200043	Verrucae	Cause is a virus called HPV (human papilloma virus), which infects the skin and causes the abnormal growth. There are many different varieties of the virus, which usually depends on the location of the lesion.	Warts, benign growths on the skin or mucous membranes that cause cosmetic problems as well as pain and discomfort. Warts most often occur on the hands, feet, and genital areas. [https://orcid.org/0000-0002-5316-1399]
HP:0200034	Papule		A circumscribed, solid elevation of skin with no visible fluid, varying in size from a pinhead to less than 10mm in diameter at the widest point. [https://orcid.org/0000-0002-5316-1399]
HP:0200035	Skin plaque		A plaque is a solid, raised, plateau-like (flat-topped) lesion greater than 1 cm in diameter. [https://orcid.org/0000-0002-5316-1399]
HP:0001798	Anonychia	Total absence of nails.	Aplasia of the nail. [https://orcid.org/0000-0002-0736-9199]
HP:0007530	Punctate palmoplantar hyperkeratosis		
HP:0001820	Leukonychia		White discoloration of the nails. [https://orcid.org/0000-0002-0736-9199]
HP:0025512	Skin-colored papule		A papule with the same color as the surrounding skin. [PMID:15686304]
HP:0008386	Aplasia/Hypoplasia of the nails		Aplasia or developmental hypoplasia of the nail. [https://orcid.org/0000-0002-0736-9199]
HP:0005584	Renal cell carcinoma	Renal cell carcinoma (also known as hypernephroma) is the most common form of kidney cancer arising from the proximal renal tubule. The tissue of origin for renal cell carcinoma is the proximal renal tubular epithelium. Renal cell carcinoma can be classified as 1) clear cell carcinoma, 2) papillary carcinoma, 3) chromophobe renal carcinoma, and 4) collecting duct carcinoma.	A type of carcinoma of the kidney with origin in the epithelium of the proximal convoluted renal tubule. [https://orcid.org/0000-0002-0736-9199]
HP:0002861	Melanoma	A malignant skin tumor of originating from melanocytes, pigment cells normally present in the epidermis and sometimes in the dermis.	The presence of a melanoma, a malignant cancer originating from pigment producing melanocytes. Melanoma can originate from the skin or the pigmented layers of the eye (the uvea). [https://orcid.org/0000-0002-0736-9199]
HP:0002894	Neoplasm of the pancreas		A tumor (abnormal growth of tissue) of the pancreas. [https://orcid.org/0000-0002-0736-9199]
HP:0025031	Abnormality of the digestive system	Any anomaly of the digestive system, a collection of organs that is made up of the gastrointestinal tract and the liver, pancreas, and gallbladder. The gastrointestinal tract is a series of hollow organs joined in a long, twisting tube from the mouth to the anus, including the mouth, esophagus, stomach, small intestine, large intestine and anus.	
HP:0025033	Abnormal digestive system morphology		A structural anomaly of the digestive system. []
HP:0002860	Squamous cell carcinoma		The presence of squamous cell carcinoma of the skin. [https://orcid.org/0000-0002-0736-9199]
HP:0002672	Gastrointestinal carcinoma		
HP:0002671	Basal cell carcinoma	A basal cell carcinoma is the most common type of skin cancer which rarely metastasizes, but is still considered malignant because it can cause significant destruction and disfigurement by invading surrounding tissues. In 80 percent of all cases, basal cell cancers are found on the head and neck or on other sun-exposed areas of the body. Apart from sporadic basal cell carcinoma, there are hereditary conditions such as the basal cell nevus syndrome where patients develop multiple basal cell carcinomas throughout life.	The presence of a basal cell carcinoma of the skin. [https://orcid.org/0009-0006-4530-3154]
HP:0002665	Lymphoma		A cancer originating in lymphocytes and presenting as a solid tumor of lymhpoid cells. [https://orcid.org/0000-0002-0736-9199]
HP:0002242	Abnormal intestine morphology		An abnormality of the intestine. The closely related term enteropathy is used to refer to any disease of the intestine. [https://orcid.org/0000-0002-0736-9199]
HP:0002577	Abnormal stomach morphology	The stomach is the hollow, muscular organ of the gastrointestinal tract between the esophagus and the small intestine.	An abnormality of the stomach. [https://orcid.org/0000-0002-0736-9199]
HP:0002011	Morphological central nervous system abnormality		A structural abnormality of the central nervous system. [https://orcid.org/0000-0002-0736-9199]
HP:0002250	Abnormal large intestine morphology	The large intestine comprises the cecum and colon.	Any abnormality of the large intestine. [https://orcid.org/0000-0002-0736-9199]
HP:0011842	Abnormal skeletal morphology		An abnormality of the form, structure, or size of the skeletal system. [https://orcid.org/0000-0002-0736-9199]
HP:0009726	Renal neoplasm		The presence of a neoplasm of the kidney. [https://orcid.org/0000-0002-0736-9199]
HP:0011792	Neoplasm by histology		Neoplasm categorized according to type of histological abnormality. [https://orcid.org/0000-0002-9113-2978]
HP:0002088	Abnormal lung morphology		Any structural anomaly of the lung. [https://orcid.org/0000-0002-0736-9199]
HP:0002086	Abnormality of the respiratory system		An abnormality of the respiratory system, which include the airways, lungs, and the respiratory muscles. [https://orcid.org/0000-0002-0736-9199]
HP:0002031	Abnormal esophagus morphology		A structural abnormality of the esophagus. [https://orcid.org/0000-0002-0736-9199]
HP:0002012	Abnormality of the abdominal organs	The abdominal organs comprise the stomach, small and large intestines, liver, pancreas, bile tract, and spleen.	An abnormality of the viscera of the abdomen. [https://orcid.org/0000-0002-0736-9199]
HP:0031093	Abnormal breast morphology		Any anomaly of the structure of the breast. []
HP:0006753	Neoplasm of the stomach		A tumor (abnormal growth of tissue) of the stomach. [https://orcid.org/0000-0002-0736-9199]
HP:0006749	Malignant gastrointestinal tract tumors		
HP:0006725	Pancreatic adenocarcinoma		The presence of an adenocarcinoma of the pancreas. [https://orcid.org/0000-0002-0736-9199]
HP:0011355	Localized skin lesion		A lesion of the skin that is located in a specific region rather than being generalized. [https://orcid.org/0000-0003-1773-4011]
HP:0011024	Abnormality of the gastrointestinal tract		An abnormality of the gastrointestinal tract. [https://orcid.org/0000-0002-0736-9199]
HP:0040276	Adenocarcinoma of the colon		
HP:0040275	Adenocarcinoma of the large intestine		A malignant epithelial tumor with a glandular organization that originates in the large intestine. []
HP:0040274	Adenocarcinoma of the small intestine		A malignant epithelial tumor with a glandular organization that originates in the small intestine. []
HP:0040273	Adenocarcinoma of the intestines		A malignant epithelial tumor with a glandular organization that originates in the intestines. []
HP:0000924	Abnormality of the skeletal system		An abnormality of the skeletal system. [https://orcid.org/0000-0002-0736-9199]
HP:0100834	Neoplasm of the large intestine		The presence of a neoplasm of the large intestine. [https://orcid.org/0000-0002-0736-9199]
HP:0100833	Neoplasm of the small intestine	An estimated 40% of small bowel cancers are adenocarcinomas, 40% are carcinoids, 15% are sarcomas (GI stromal tumors), and less than 5% are lymphomas.	The presence of a neoplasm of the small intestine. [https://orcid.org/0000-0002-0736-9199]
HP:0000812	Abnormal internal genitalia		An anomaly of the adnexa, uterus, and vagina (in female) or seminal tract and prostate (in male). [https://orcid.org/0000-0002-0736-9199]
HP:0100787	Prostate neoplasm		
HP:0000769	Abnormality of the breast		An abnormality of the breast. [https://orcid.org/0000-0002-0736-9199]
HP:0100751	Esophageal neoplasm		A tumor (abnormal growth of tissue) of the esophagus. []
HP:0100606	Neoplasm of the respiratory system		A tumor (abnormal growth of tissue) of the respiratory system. [https://orcid.org/0000-0002-0736-9199]
HP:0100526	Neoplasm of the lung		Tumor of the lung. [https://orcid.org/0000-0002-0736-9199]
HP:0001871	Abnormality of blood and blood-forming tissues	The hematopoietic system comprises the organs that are involved in the production of blood, primarily the bone marrow, spleen, tonsils, and lymph nodes.	An abnormality of the hematopoietic system. [https://orcid.org/0000-0002-0736-9199]
HP:0012718	Abnormal gastrointestinal tract morphology		Abnormal structure of the gastrointestinal tract. [https://orcid.org/0000-0002-0736-9199]
HP:0003002	Breast carcinoma		The presence of a carcinoma of the breast. [https://orcid.org/0000-0002-0736-9199]
HP:0012639	Abnormal nervous system morphology		A structural anomaly of the nervous system. [https://orcid.org/0000-0002-0736-9199]
HP:0012531	Pain		An unpleasant sensory and emotional experience associated with actual or potential tissue damage, or described in terms of such damage. [https://orcid.org/0000-0001-5208-3432]
HP:0012500	Verrucous papule		A wartlike (with multiple small elevated projections) papule. [https://orcid.org/0000-0002-0736-9199]
HP:0100273	Neoplasm of the colon		
HP:0012443	Abnormal brain morphology		A structural abnormality of the brain, which has as its parts the forebrain, midbrain, and hindbrain. [https://orcid.org/0000-0002-0736-9199]
HP:0000119	Abnormality of the genitourinary system		The presence of any abnormality of the genitourinary system. [https://orcid.org/0000-0002-0736-9199]
HP:0100006	Neoplasm of the central nervous system		A neoplasm of the central nervous system. [https://orcid.org/0000-0002-0736-9199]
HP:0100013	Neoplasm of the breast		A tumor (abnormal growth of tissue) of the breast. [https://orcid.org/0000-0002-0736-9199]
HP:0000079	Abnormality of the urinary system		An abnormality of the urinary system. [https://orcid.org/0000-0002-0736-9199]
HP:0000078	Abnormality of the genital system		An abnormality of the genital system. [https://orcid.org/0000-0002-0736-9199]
HP:0000077	Abnormality of the kidney	The kidney is a paired organ whose primary function is the production of urine.	An abnormality of the kidney. [https://orcid.org/0000-0002-0736-9199]
HP:0000022	Abnormal male internal genitalia morphology	The internal genital structures of the male including the testis, epididymis, vas deferens, seminal vesicle, ejaculatory duct, bulbourethral gland, and the prostate.	An abnormality of the male internal genitalia. [https://orcid.org/0000-0002-0736-9199]
HP:0012288	Neoplasm of head and neck		A tumor (abnormal growth of tissue) of the head and neck region with origin in the lip, oral cavity, nasal cavity, paranasal sinuses, pharynx, or larynx. [https://orcid.org/0000-0002-0736-9199]
HP:0012252	Abnormal respiratory system morphology		A structural anomaly of the respiratory system. [https://orcid.org/0000-0002-0736-9199]
HP:0012243	Abnormal reproductive system morphology		A structural or developmental anomaly of any of the tissues involved in the genital system. [https://orcid.org/0000-0002-0736-9199, MP:0002160]
HP:0012189	Hodgkin lymphoma		A type of lymphoma characterized microscopically by multinucleated Reed-Sternberg cells. [https://orcid.org/0000-0002-0736-9199]
HP:0012126	Stomach cancer		A cancer arising in any part of the stomach. [https://orcid.org/0000-0002-0736-9199]
HP:0012125	Prostate cancer		A cancer of the prostate. [https://orcid.org/0000-0002-0736-9199]
HP:0007379	Neoplasm of the genitourinary tract		A tumor (abnormal growth of tissue) of the genitourinary system. [https://orcid.org/0000-0002-0736-9199]
HP:0007378	Neoplasm of the gastrointestinal tract		A tumor (abnormal growth of tissue) of the gastrointestinal tract. [https://orcid.org/0000-0002-0736-9199]
HP:0001732	Abnormality of the pancreas		An abnormality of the pancreas. [https://orcid.org/0000-0002-0736-9199]
HP:0004375	Neoplasm of the nervous system		A tumor (abnormal growth of tissue) of the nervous system. [https://orcid.org/0000-0002-0736-9199]
HP:0004377	Hematological neoplasm		Neoplasms located in the blood and blood-forming tissue (the bone marrow and lymphatic tissue). [http://www.ncbi.nlm.nih.gov/mesh?term=Hematologic%20Neoplasms]
HP:0030692	Brain neoplasm		A benign or malignant neoplasm that arises from or metastasizes to the brain. []
HP:0033127	Abnormality of the musculoskeletal system		An anomaly of the musculoskeletal system, which consists of the bones of the skeleton, muscles, cartilage, tendons, ligaments, joints, and other connective tissue. The musculoskeletal system supports the weight of the body, maintains body position and produces movements of the body or of parts of the body. []
HP:0010935	Abnormality of the upper urinary tract	The upper urinary tract is a subdivision of urinary system which consists of the kidney and the ureters.	An abnormality of the upper urinary tract. [https://orcid.org/0000-0002-0736-9199]
HP:0033019	Male reproductive system neoplasm		A neoplasm that affects the male reproductive system. []
HP:0008775	Abnormal prostate morphology		An abnormality of the prostate. [https://orcid.org/0000-0002-0736-9199]
HP:0010787	Genital neoplasm		A tumor (abnormal growth of tissue) of the genital system. [https://orcid.org/0000-0002-0736-9199]
HP:0010786	Urinary tract neoplasm		The presence of a neoplasm of the urinary system. [https://orcid.org/0000-0002-0736-9199]
HP:0010622	Neoplasm of the skeletal system		A tumor (abnormal growth of tissue) of the skeleton. [https://orcid.org/0000-0002-0736-9199]
HP:0045059	Hyperkeratotic papule		A circumscribed, solid elevation of skin with no visible fluid, varying in size from a pinhead to less than 10mm in diameter at the widest point that is composed of localized hyperkeratosis (the latter may be demonstrated histopathologically). [PMID:3632007]
HP:0010461	Abnormality of the male genitalia		Abnormality of the male genital system. [https://orcid.org/0000-0002-0736-9199]
HP:0025142	Constitutional symptom	Note that we use the preferred term label constitutional symptom because this reflects common usage, but we do not restrict the term or its descendents to the narrow meaning of symptom, i.e., a complaint related by a patient to a physician. There is no generally accepted classification of what defines a constitutional symptom, but examples include weight loss, fatigue, general weakness, night sweats, shaking, chills, fever, and vomiting.	A symptom or manifestation indicating a systemic or general effect of a disease and that may affect the general well-being or status of an individual. []
HP:0025112	Auditory sensitivity	Sound sensitivity impliees a difficulty tolerating sounds which do not seem loud or unpleasant to others.	Decreased tolerance to sound. []
HP:0025032	Abnormality of digestive system physiology		A functional anomaly of the digestive system. []
HP:0000252	Microcephaly	Head circumference is measured from just above the glabella (the most prominent point on the frontal bone above the root of the nose) to the most posterior prominent point of the occipital bone using a tape measure. Some standard charts are organized by centiles, others by standard deviations. It is important to add an indication of how far below the normal standard the head circumference is if an accurate assessment of this can be made. Microcephaly is an absolute term. The term relative microcephaly can be used when the head size centile is less than the centile for height, for example, head size at the 3rd centile with height at the 75% for age and sex. On prenatal ultrasound, microcephaly is diagnosed if the head circumference or the biparietal diameter is more than three standard deviations below the mean. Microcephaly is divided into primary microcephaly, which is present at birth, and secondary microcephaly, which develops postnatally. The crucial difference between these groupings is that primary microcephaly is usually a static developmental anomaly, whereas secondary microcephaly indicates a progressive neurodegenerative condition	Head circumference below 2 standard deviations below the mean for age and gender. [PMID:15806441, PMID:19125436, PMID:25465325, PMID:9683597]
HP:0005484	Secondary microcephaly		Head circumference which falls below 2 standard deviations below the mean for age and gender because of insufficient head growth after birth. [https://orcid.org/0000-0002-0736-9199]
HP:0000597	Ophthalmoparesis		Ophthalmoplegia is a paralysis or weakness of one or more of the muscles that control eye movement. [https://orcid.org/0000-0002-0736-9199]
HP:0001250	Seizure	A type of electrographic seizure has been proposed in neonates which does not have a clinical correlate, it is electrographic only. The term epilepsy is not used to describe recurrent febrile seizures. Epilepsy presumably reflects an abnormally reduced seizure threshold.	A seizure is an intermittent abnormality of nervous system physiology characterised by a transient occurrence of signs and/or symptoms due to abnormal excessive or synchronous neuronal activity in the brain. [https://orcid.org/0000-0002-0736-9199, PMID:15816939]
HP:0410008	Abnormality of the peripheral nervous system		Any abnormality of the part of the nervous system that consists of the nerves and ganglia outside of the brain and spinal cord. [https://orcid.org/0000-0001-5889-4463]
HP:0031826	Abnormal reflex		Any anomaly of a reflex, i.e., of an automatic response mediated by the nervous system (a reflex does not need the intervention of conscious thought to occur). []
HP:0034434	Abnormal communication		Presence of any form of communication (e.g., verbal or non-verbal) that does not align with cultural expectations or developmental level. []
HP:0002015	Dysphagia		Difficulty in swallowing. [https://orcid.org/0000-0002-0736-9199]
HP:0001311	Abnormal nervous system electrophysiology		An abnormality of the function of the electrical signals with which nerve cells communicate with each other or with muscles as measured by electrophysiological investigations. [https://orcid.org/0000-0002-0736-9199]
HP:0008947	Infantile muscular hypotonia	This term should not be used for new annotations. Instead, state the type of onset of hypotonia more exactly.	Muscular hypotonia (abnormally low muscle tone) manifesting in infancy. [https://orcid.org/0000-0002-0736-9199]
HP:0002521	Hypsarrhythmia		Hypsarrhythmia is abnormal interictal high amplitude waves and a background of irregular spikes. There is continuous (during wakefulness), high-amplitude (>200 Hz), generalized polymorphic slowing with no organized background and multifocal spikes demonstrated by electroencephalography (EEG). [https://orcid.org/0000-0002-0736-9199]
HP:0002493	Upper motor neuron dysfunction	A functional deficit of the tract that conveys nervous impulses from the motor cortex of the brain to the spinal cord. The corticospinal tract mediates discrete voluntary skilled movements. Clinical features of corticospinal tract dysfunction may include spasticity and weakness, particularly affecting the lower limbs, as well as hyperreflexia, clonus at the ankles and knees, and extensor plantar responses (Babinski response).	A functional anomaly of the upper motor neuron. The upper motor neurons are neurons of the primary motor cortex which project to the brainstem and spinal chord via the corticonuclear, corticobulbar and corticospinal (pyramidal) tracts. They are involved in control of voluntary movements. Dysfunction leads to weakness, impairment of fine motor movements, spasticity, hyperreflexia and abnormal pyramidal signs. [https://orcid.org/0000-0002-0736-9199]
HP:0002376	Developmental regression	Developmental regression is said to occur when a child that has reached a certain psychomotor developmental stage starts to regress and to lose the acquired milestones.	Loss of developmental skills, as manifested by loss of developmental milestones. [https://orcid.org/0000-0002-6410-0882]
HP:0000708	Atypical behavior		An abnormality of mental functioning including various affective, behavioral, cognitive, and perceptual abnormalities. []
HP:0002353	EEG abnormality		Abnormality observed by electroencephalogram (EEG), which is used to record of the brain's spontaneous electrical activity from multiple electrodes placed on the scalp. [https://orcid.org/0000-0002-0736-9199]
HP:0001276	Hypertonia	Spasticity is a term that is often used interchangeably with hypertonia. Spasticity, however, is a particular type of hypertonia in which the muscles' spasms are increased by movement. In this type, patients usually have exaggerated reflex responses.	A condition in which there is increased muscle tone so that arms or legs, for example, are stiff and difficult to move. [https://orcid.org/0000-0002-0736-9199]
