disorder_id,name,orpha_code,definition,prevalence_geo
17615,Von Willebrand disease type 2M,166090,"A subtype of type 2 von Willebrand disease characterized by a bleeding disorder associated with decreased affinity of the Willebrand factor (VWF) for platelets or collagen in the absence of any deficiency of high molecular weight VWF multimers. The disease manifests as mucocutaneous bleeding (menorrhagia, epistaxis, gastrointestinal hemorrhage, etc.).",Unknown
17616,Von Willebrand disease type 2N,166093,"A subtype of type 2 von Willebrand disease characterized by a bleeding disorder associated with a marked decrease in the affinity of the Willebrand factor (VWF) for factor VIII (FVIII). Abnormal bleeding manifestations are less frequent in this VWD subtype than in other forms of the disease. The disease manifests mainly as soft tissue bleeding (haematoma, post-operative bleeding, etc.).",Unknown
17617,Von Willebrand disease type 3,166096,"A form of von Willebrand disease (VWD) characterized by a bleeding disorder associated with a total or near-total absence of Willebrand factor (VWF) in the plasma and cellular compartments, also leading to a profound deficiency of plasmatic factor VIII (FVIII). It is the most severe form of VWD.",Worldwide=1-9 / 1 000 000;Austria=<1 / 1 000 000;Finland=<1 / 1 000 000;France=<1 / 1 000 000;Israel=<1 / 1 000 000;Italy=<1 / 1 000 000;Netherlands=<1 / 1 000 000;Norway=1-9 / 1 000 000;Portugal=<1 / 1 000 000;Spain=<1 / 1 000 000;Sweden=1-9 / 1 000 000;United Kingdom=<1 / 1 000 000
7036,Familial exudative vitreoretinopathy,891,"Familial exudative vitreoretinopathy (FEVR) is a rare hereditary vitreoretinal disorder characterized by abnormal or incomplete vascularization of the peripheral retina leading to variable clinical manifestations ranging from no effects to minor anomalies, or even retinal detachment with blindness.",Unknown
1290,Hereditary sensory and autonomic neuropathy type 2,970,A rare hereditary sensory and autonomic neuropathy characterized by profound and universal sensory loss involving large and small fiber nerves.,Worldwide=<1 / 1 000 000
930,Neurofibromatosis-Noonan syndrome,638,"Neurofibromatosis-Noonan syndrome (NFNS) is a RASopathy and a variant of neurofibromatosis type 1 (NF1) characterized by the combination of features of NF1, such as café-au-lait spots, iris Lisch nodules, axillary and inguinal freckling, optic nerve glioma and multiple neurofibromas, and Noonan syndrome (NS), such as short stature, typical facial features (hypertelorism, ptosis, downslanting palpebral fissures, low-set posteriorly rotated ears with a thickened helix, and a broad forehead), congenital heart defects and unusual pectus deformity. As these three entities have significant phenotypic overlap, molecular genetic testing is often necessary for a correct diagnosis (such as when café-au-lait spots are present in patients diagnosed with NS).",Unknown
11747,Juvenile myelomonocytic leukemia,86834,"A rare myelodysplastic/myeloproliferative neoplasm characterized by a proliferation primarily of granulocytic and monocytic lineages with infiltration of the liver and spleen, among other organs. Blasts and promonocytes account for less than 20% of white blood cells in peripheral blood and bone marrow. Erythroid and megakaryocytic abnormalities are often present. BCR-ABL1 fusion is absent, while somatic mutations in genes of the RAS pathway or monosomy 7 may be found. The condition may also occur in the context of neurofibromatosis type 1 or Noonan syndrome-like disorder. Children of less than three years are predominantly affected, with a clear male preponderance. Most patients present with constitutional symptoms, signs of infection, and hepatosplenomegaly.",Europe=1-9 / 1 000 000
12945,17q11 microdeletion syndrome,97685,"17q11 microdeletion syndrome is a rare severe form of neurofibromatosis type 1 (NF1; see this term) characterized by mild facial dysmorphism, developmental delay, intellectual disability, increased risk of malignancies, and a large number of neurofibromas.",Unknown
16905,17q11.2 microduplication syndrome,139474,17q11.2 microduplication syndrome is characterized by dysmorphic features and intellectual deficit.,Worldwide=<1 / 1 000 000
21360,"GM2 gangliosidosis, AB variant",309246,"GM2 gangliosidosis, AB variant is an extremely rare, severe genetic disorder characterized by progressive neurological decline due to ganglioside activator deficiency.",Worldwide=<1 / 1 000 000
1022,Joubert syndrome,475,"A rare, autosomal recessive congenital cerebellar ataxia characterized by congenital malformation of the brainstem and agenesis or hypoplasia of the cerebellar vermis leading to an abnormal respiratory pattern, nystagmus, hypotonia, ataxia, and delay in achieving motor milestones.",Italy=1-9 / 1 000 000
1644,Joubert syndrome with hepatic defect,1454,"Joubert syndrome with hepatic defect is a very rare subtype of Joubert syndrome and related disorders (JSRD, see this term) characterized by the neurological features of JS associated with congenital hepatic fibrosis (CHF).",Worldwide=<1 / 1 000 000
11096,MORM syndrome,75858,"A rare genetic syndromic intellectual disability characterized by language delay and mild to moderate intellectual disability associated with truncal obesity, congenital nonprogressive retinal dystrophy with poor night vision and reduced visual acuity, and micropenis in males. Cataracts may occur in the second or third decade of life.",Unknown
18916,Joubert syndrome with ocular defect,220493,"Joubert syndrome with ocular defect is, along with pure JS, the most frequent subtype of Joubert syndrome and related disorders (JSRD, see these terms) characterized by the neurological features of JS associated with retinal dystrophy.",Unknown
8772,Tyrosinemia type 2,28378,"Tyrosinemia type 2 is an inborn error of tyrosine metabolism characterized by hypertyrosinemia with oculocutaneous manifestations and, in some cases, intellectual deficit.",Worldwide=<1 / 1 000 000
19058,"Autosomal recessive optic atrophy, OPA7 type",227976,"A rare, syndromic, hereditary optic neuropathy disorder characterized by early-onset, severe, progressive visual impairment, optic disc pallor and central scotoma, variably associated with dyschromatopsia, auditory neuropathy (e.g. mild progressive sensorineural hearing loss), sensorimotor axonal neuropathy and, occasionally, moderate hypertrophic cardiomyopathy.",Worldwide=<1 / 1 000 000
12860,Glycogen storage disease due to phosphoglycerate mutase deficiency,97234,"Muscle phosphoglycerate mutase deficiency (PGAMD) is a metabolic myopathy characterised by exercise-induced cramp, myoglobinuria, and presence of tubular aggregates in the muscle biopsy. Serum creatine kinase (CK) levels are increased between episodes of myoglobinuria. Less than 50 cases have been described so far. The disease is due to an anomaly in one of the last steps of glycolysis. The enzymatic defect in PGAMD is caused by mutations in the cDNA coding for the M-isoform of PGAM. Residual PGAM activity in the muscles of patients (2%-6%) is due to activity of the B-isoform. Transmission is autosomal recessive. Differential diagnosis includes muscle phosphorylase deficiency (McArdle disease) and phosphofructokinase deficiency (PFKD) (see these terms).",Worldwide=<1 / 1 000 000
21692,Encephalopathy-hypertrophic cardiomyopathy-renal tubular disease syndrome,319678,"Encephalopathy-hypertrophic cardiomyopathy-renal tubular disease syndrome is a rare mitochondrial disease due to a defect in coenzyme Q10 biosynthesis that manifests with a broad spectrum of signs and symptoms which may include: neonatal lactic acidosis, global developmental delay, tonus disorder, seizures, reduced spontaneous movements, ventricular hypertrophy, bradycardia, renal tubular dysfunction with massive lactic acid excretion in urine, severe biochemical defect of respiratory chain complexes II/III when assayed together and deficiency of coenzyme Q10 in skeletal muscle. Cerebral and cerebellar atrophy can be seen on magnetic resonance imaging and multiple choroid plexus cysts and symmetrical hyperechoic signal alterations in basal ganglia have been observed on ultrasound.",Worldwide=<1 / 1 000 000
12671,Familial thyroid dyshormonogenesis,95716,"Familial thyroid dyshormonogenesis is a type of primary congenital hypothyroidism (see this term), a permanent thyroid hormone deficiency that is present from birth, which results from inborn errors of thyroid hormone synthesis.",Europe=1-9 / 100 000
11299,Hereditary coproporphyria,79273,"Hereditary coproporphyria is a form of acute hepatic porphyria (see this term) characterized by the occurrence of neuro-visceral attacks and, more rarely, by the presence of cutaneous lesions.",Europe=1-9 / 1 000 000
517,Hereditary fructose intolerance,469,"Hereditary fructose intolerance (HFI) is an autosomal recessive disorder of fructose metabolism (see this term), resulting from a deficiency of hepatic fructose-1-phosphate aldolase activity and leading to gastrointestinal disorders and postprandial hypoglycemia following fructose ingestion. HFI is a benign condition when treated, but it is life-threatening and potentially fatal if left untreated.",Europe=1-9 / 100 000;Switzerland=1-9 / 100 000;United Kingdom=1-9 / 100 000;Germany=1-9 / 100 000;Poland=1-9 / 100 000;Finland=1-9 / 100 000
457,Dihydropteridine reductase deficiency,226,"Dihydropteridine reductase (DHPR) deficiency is a severe form of hyperphenylalaninemia (HPA) due to impaired regeneration of tetrahydrobiopterin (BH4) (see this term), leading to decreased levels of neurotransmitters (dopamine, serotonin) and folate in cerebrospinal fluid, and causing neurological symptoms such as psychomotor delay, hypotonia, seizures, abnormal movements, hypersalivation, and swallowing difficulties.",Unknown
3252,Hereditary spherocytosis,822,"Hereditary spherocytosis is a congenital hemolytic anemia with a wide clinical spectrum (from symptom-free carriers to severe hemolysis) characterized by anemia, variable jaundice, splenomegaly and cholelithiasis.",Germany=1-5 / 10 000;Europe=1-5 / 10 000
19613,8p11.2 deletion syndrome,251066,"8p11.2 deletion syndrome is a contiguous gene syndrome characterized by the association of congenital spherocytosis, dysmorphic features, growth delay and hypogonadotropic hypogonadism.",Worldwide=<1 / 1 000 000
1784,Dysosteosclerosis,1782,A rare genetic primary bone dysplasia disease characterized by progressive osteosclerosis and platyspondyly.,Europe=<1 / 1 000 000
17774,H syndrome,168569,"A rare cutaneous disease and a systemic inherited histiocytosis mainly characterized by hyperpigmentation, hypertrichosis, hepatosplenomegaly, heart anomalies, hearing loss, hypogonadism, low height, and occasionally, hyperglycemia/diabetes mellitus. Due to overlapping clinical features, it is now considered to include pigmented hypertrichosis with insulin dependent diabetes mellitus syndrome (PHID), Faisalabad histiocytosis (FHC) and familial sinus histiocytosis with massive lymphadenopathy (FSHML). Some cases of dysosteosclerosis may also represent the syndrome.",Worldwide=<1 / 1 000 000
1889,Maternal phenylketonuria,2209,"A rare disorder of phenylalanine (Phe) metabolism, an inborn error of amino acid metabolism, characterized by the development of microcephaly, growth retardation, congenital heart disease, facial dysmorphism and intellectual disability in non-phenylketonuric offspring of mothers with excess blood Phe concentrations.",Unknown
11279,Mild phenylketonuria,79253,"A mild to moderate form of phenylketouria (PKU), an inborn error of amino acid metabolism, characterized by blood phenylalanine concentrations of 600-1,200 micromol/L and manifests with reduced cognitive function and behavioral and developmental disorders. Dietary phenylalanine tolerance is 400-600 mg/day.",Unknown
11543,Mild hyperphenylalaninemia,79651,"A rare form of phenylketonuria, an inborn error of amino acid metabolism, characterized by blood phenylalanine (Phe) concentrations of 120-600 micromol/L with or without clinical manifestations of impaired cognitive function, and behavioral and developmental disorders.",Unknown
20847,Tetrahydrobiopterin-responsive hyperphenylalaninemia/phenylketonuria,293284,"A form of phenylketonuria (PKU), an inborn error of amino acid metabolism, characterized by mild to moderate symptoms of PKU including impaired cognitive function, seizures, and behavioral and developmental disorders, and a marked reduction of elevated phenylalanine concentrations after oral loading with tetrahydrobiopterin (BH4), an essential cofactor of phenylalanine hydroxylase.",Unknown
17619,FASTKD2-related infantile mitochondrial encephalomyopathy,166105,"FASTKD2-related infantile mitochondrial encephalomyopathy is a rare, genetic, mitochondrial oxidative phosphorylation disorder characterized by infantile-onset encephalomyopathy presenting with developmental delay, slowly progressive hemiplegia, intractable epileptic seizures and asymmetrical brain atrophy with dilatation of the ipsilateral ventricle system. Additional features include optic atrophy, mildly increased plasma and/or CSF lactate and decreased cytochrome c oxidase activity in skeletal muscle biopsy.",Worldwide=<1 / 1 000 000
854,Budd-Chiari syndrome,131,A rare vascular liver disease characterized by obstruction of hepatic venous outflow involving either the hepatic veins or the terminal segment of the inferior vena cava.,"Europe=1-9 / 100 000;Sweden=1-9 / 1 000 000;Japan=1-9 / 1 000 000;Korea, Republic of=1-9 / 1 000 000;Worldwide=1-9 / 100 000"
926,Congenital factor V deficiency,326,Congenital factor V deficiency is an inherited bleeding disorder due to reduced plasma levels of factor V (FV) and characterized by mild to severe bleeding symptoms.,Europe=1-9 / 1 000 000
21909,Cerebral sinovenous thrombosis,329217,"A rare, potentially life-threatening, circulatory system disease characterized by variable signs and symptoms which may include headache, seizures, altered mental status, intracranial hypertension and cavernous sinus syndrome, among others.",Unknown
22604,East Texas bleeding disorder,391320,"East Texas bleeding disorder is a rare, genetic, coagulation disorder characterized by easy bruising (without hemarthrosis or spontaneous hematomas), epistaxis, menorrhagia, and excessive bleeding after minor trauma and surgical procedures. Patients present a prolonged prothrombin time and/or activated partial thromboplastin time, normal levels of all coagulation factors, and normal protein C activity.",Worldwide=<1 / 1 000 000
3383,Severe hereditary thrombophilia due to congenital protein C deficiency,745,Congenital protein C deficiency is an inherited coagulation disorder characterized by deep venous thrombosis symptoms due to reduced synthesis and/or activity levels of protein C.,Unknown
13,Fucosidosis,349,"Fucosidosis is an extremely rare lysosomal storage disorder characterized by a highly variable phenotype with common manifestations including neurologic deterioration, coarse facial features, growth retardation, and recurrent sinopulmonary infections, as well as seizures, visceromegaly, angiokeratoma and dysostosis.",Worldwide=<1 / 1 000 000
2401,Geleophysic dysplasia,2623,"A rare skeletal dysplasia characterized by short stature, prominent abnormalities in hands and feet, and a characteristic facial appearance (described as happy'').",Worldwide=<1 / 1 000 000
4045,Dermatosparaxis Ehlers-Danlos syndrome,1901,"A form of Ehlers-Danlos syndrome (EDS) characterized by extreme skin fragility and laxity, a prominent facial gestalt, excessive bruising and, sometimes, major complications due to visceral and vascular fragility.",Worldwide=<1 / 1 000 000
21369,Mucopolysaccharidosis type 4A,309297,,Europe=1-5 / 10 000;Canada=1-9 / 1 000 000;Germany=1-9 / 1 000 000;United Arab Emirates=1-9 / 1 000 000;Australia=1-9 / 1 000 000
280,Meckel syndrome,564,"A rare, lethal, genetic, multiple congenital anomaly disorder characterized by the triad of brain malformation (mainly occipital encephalocele), large polycystic kidneys, and polydactyly, as well as associated abnormalities that may include cleft lip/palate, cardiac and genital anomalies, central nervous system (CNS) malformations, liver fibrosis, and bone dysplasia.",France=<1 / 1 000 000;Worldwide=<1 / 1 000 000
519,Joubert syndrome with oculorenal defect,2318,A rare subtype of Joubert syndrome (JS) and related disorders (JSRD) characterized by the neurological features of JS associated with both renal and ocular disease.,Worldwide=<1 / 1 000 000
14707,Autosomal recessive spastic paraplegia type 15,100996,"Autosomal recessive spastic paraplegia type 15 is a complex form of hereditary spastic paraplegia characterized by a childhood to adulthood onset of slowly progressive lower limb spasticity (resulting in gait disturbance, extensor plantar responses and decreased vibration sense) associated with mild intellectual disability, mild cerebellar ataxia, peripheral neuropathy (with distal upper limb amyotrophy) and retinal degeneration. Thin corpus callosum is a common imaging finding.",Worldwide=<1 / 1 000 000
22075,Intellectual disability-obesity-brain malformations-facial dysmorphism syndrome,352530,"Intellectual disability-obesity-brain malformations-facial dysmorphism syndrome is a rare, syndromic intellectual disability primarily characterized by moderate to severe intellectual disability, true-to-relative microcephaly and brain abnormalities including a thin corpus callosum, cerebellar hypoplasia, cerebral white matter hypoplasia and multi-focal hyperintensity of cerebral white matter on MRI. Obesity and distinctive craniofacial dysmorphism (including brachycephaly, round face, straight eyebrows, synophrys, hypertelorism, epicanthus, wide and depressed nasal bridge, protruding ears with uplifted lobe, downslanting corners of the mouth) are additional features.",Worldwide=<1 / 1 000 000
11309,"Methylmalonic acidemia with homocystinuria, type cblD",79283,"<i>cblD</i> type methylmalonic acidemia with homocystinuria is a form of methylmalonic acidemia with homocystinuria (see this term), an inborn error of vitamin B12 (cobalamin) metabolism characterized by variable biochemical, neurological and hematological manifestations.",Worldwide=<1 / 1 000 000
19548,Juvenile cataract-microcornea-renal glucosuria syndrome,247794,"Juvenile cataract - microcornea - renal glucosuria is an extremely rare autosomal dominant association reported in a single Swiss family and characterized clinically by juvenile cataract associated with bilateral microcornea, and renal glucosuria without other renal tubular defects.",Worldwide=<1 / 1 000 000
27791,Familial lipase maturation factor 1 deficiency,535453,,Worldwide=<1 / 1 000 000
2913,Cenani-Lenz syndrome,3258,Cenani-Lenz syndrome (CLS) is a congenital malformation syndrome that associates a complex syndactyly of the hands with malformations of the forearm bones and similar manifestations in the lower limbs.,Worldwide=<1 / 1 000 000
8665,Desmoid tumor,873,"A desmoid tumor (DT) is a benign, locally invasive soft tissue tumor associated with a high recurrence rate but with no metastatic potential.",Unknown
11544,Gardner syndrome,79665,Gardner syndrome is a severe form of familial adenomatous polyposis characterized by multiple adenomas in the colon and rectum associated with prominent extracolonic features including osteomas and multiple skin and soft tissue tumors.,Unknown
21470,Gastric adenocarcinoma and proximal polyposis of the stomach,314022,"Gastric adenocarcinoma and proximal polyposis of the stomach (GAPPS) is a rare hereditary gastric cancer characterized by proximal gastric polyposis and increased risk of early-onset, intestinal-type adenocarcinoma of the gastric body, with no duodenal or colorectal polyposis.",Worldwide=<1 / 1 000 000
20066,Progressive myoclonic epilepsy type 3,263516,"A rare, genetic, neuronal ceroid lipofuscinosis disorder characterized by infantile- to early childhood-onset of progressive myoclonic seizures (occasionally accompanied by generalized tonic-clonic seizures) and severe, progressive neurological regression, leading to psychomotor and cognitive decline, cerebellar ataxia, dementia and, frequently, early death. Vision loss may be associated. EEG typically reveals epileptiform activity with predominance in the posterior region and photosensitivity.",Worldwide=<1 / 1 000 000
2571,Wrinkly skin syndrome,2834,"Wrinkly skin syndrome (WSS) is characterized by wrinkling of the skin of the dorsum of the hands and feet, an increased number of palmar and plantar creases, wrinkled abdominal skin, multiple skeletal abnormalities (joint laxity and congenital hip dislocation), late closing of the anterior fontanel, microcephaly, pre- and postnatal growth retardation, developmental delay and facial dysmorphism (a broad nasal bridge, downslanting palpebral fissures and hypertelorism).",Worldwide=<1 / 1 000 000
676,"Fructose-1,6-bisphosphatase deficiency",348,"Fructose-1,6-biphosphatase (FBP) deficiency is a disorder of fructose metabolism (see this term) characterized by recurrent episodes of fasting hypoglycemia with lactic acidosis, that may be life-threatening in neonates and infants.",Unknown
40,Mucopolysaccharidosis type 7,584,"A rare, genetic lysosomal storage disease characterized by accumulation of glycosaminoglycans in connective tissue which results in progressive multisystem involvement with severity ranging from mild to severe. The most consistent features include musculoskeletal involvement (particularly dysostosis multiplex, joint restriction, thorax abnormalities, and short stature), limited vocabulary, intellectual disability, coarse facies with a short neck, pulmonary involvement (predominantly decreased pulmonary function), corneal clouding, and cardiac valve disease.",Europe=<1 / 1 000 000
555,Osteopetrosis with renal tubular acidosis,2785,"Osteopetrosis with renal tubular acidosis is a rare disorder characterized by osteopetrosis (see this term), renal tubular acidosis (RTA), and neurological disorders related to cerebral calcifications.",Worldwide=<1 / 1 000 000
11281,GM1 gangliosidosis type 1,79255,GM1 gangliosidosis type 1 is the severe infantile form of GM1 gangliosidosis (see this term) with variable neurological and systemic manifestations.,Unknown
11282,GM1 gangliosidosis type 2,79256,"GM1 gangliosidosis type 2 is a clinically variable, infancy or childhood-onset form of GM1 gangliosidosis (see this term) characterized by normal early development and psychomotor regression between seven months and three years of age.",Worldwide=<1 / 1 000 000
11283,GM1 gangliosidosis type 3,79257,"GM1 gangliosidosis type 3 is a mild, chronic, adult form of GM1 gangliosidosis (see this term) characterized by onset generally during childhood or adolescence and by cerebellar dysfunction.",Worldwide=<1 / 1 000 000
3243,Leber congenital amaurosis,65,"Leber congenital amaurosis (LCA) is a retinal dystrophy defined by blindness and responses to electrophysiological stimulation (Ganzfeld electroretinogram (ERG)) below threshold, associated with severe visual impairment within the first year of life.",Europe=1-9 / 100 000;United States=1-9 / 100 000;Worldwide=1-9 / 100 000
22365,Severe early-childhood-onset retinal dystrophy,364055,"Severe early childhood onset retinal dystrophy (SECORD) is an inherited retinal dystrophy characterized by a severe congenital night blindness, progressive retinal dystrophy and nystagmus. Best corrected visual acuity can reach 0.3 in the first decade of life and can pertain well into the second decade of life. Blindness is often complete by the age of 30 years.",Unknown
634,Fanconi anemia,84,"A rare genetic multisystem disorder characterized by progressive pancytopenia with bone marrow failure, variable congenital malformations and predisposition to develop hematological or solid tumors.",Specific population=1-9 / 100 000;Europe=1-9 / 1 000 000;Worldwide=1-9 / 1 000 000;Specific population=1-9 / 100 000;Specific population=1-9 / 100 000
16697,Overgrowth-macrocephaly-facial dysmorphism syndrome,137634,"A rare overgrowth syndrome characterized by tall stature, learning difficulties and facial dysmorphism.",Worldwide=<1 / 1 000 000
17815,Cernunnos-XLF deficiency,169079,"Cernunnos-XLF deficiency is a rare form of combined immunodeficiency characterized by microcephaly, growth retardation, and T and B cell lymphopenia.",Worldwide=<1 / 1 000 000
14527,Charcot-Marie-Tooth disease type 4H,99954,"Charcot-Marie-Tooth disease type 4H is a subtype of Charcot-Marie-Tooth disease type 4 characterized by onset before two years of age of severe, slowly progressive, demyelinating sensorimotor neuropathy manifesting with delayed motor development (walking), unsteady gait, distal muscle weakness and atrophy (more prominent in the lower limbs), areflexia, mild symmetrical stocking-distribution hypoesthesia, and skeletal malformations (incl. kyphoscoliosis, short neck, pes cavus and pes equinus). Severely reduced nerve conduction velocities are associated.",Worldwide=<1 / 1 000 000
21992,Autosomal recessive severe congenital neutropenia due to G6PC3 deficiency,331176,"Autosomal recessive severe congenital neutropenia due to G6PC3 deficiency is a rare, genetic, primary immunodeficiency disorder characterized by increased susceptibility to recurrent, life-threatening bacterial infections, in association with typically severe neutropenia in peripheral blood and bone marrow and a prominent ectatic superficial vein pattern, resulting from recessively inherited mutations in the <i>G6PC3</i> gene. Cardiac malformations (e.g. atrial septal defects, patent ductus arteriosus,valvular defects), urogenital anomalies (incl. cryptorchidism), growth and developmental delay, facial dysmorphism (e.g. frontal bossing, upturned nose, malar hypoplasia), and intermittent thrombocytopenia are frequently associated.",Worldwide=<1 / 1 000 000
2393,3M syndrome,2616,"A rare primordial growth disorder characterized by low birth weight, reduced birth length, severe postnatal growth restriction, large head size, a spectrum of minor anomalies (including facial dysmorphism) and normal intelligence.",Unknown
16739,Leukoencephalopathy with brain stem and spinal cord involvement-high lactate syndrome,137898,"This disease is characterised by progressive cerebellar ataxia with pyramidal and spinal cord dysfunction, associated with distinctive MRI anomalies and increased lactate in the abnormal white matter.",Worldwide=<1 / 1 000 000
